r,g,b,r_new,g_new,b_new
0,224,112,212,186,120
0,224,128,203,187,148
0,224,144,203,187,156
0,224,160,203,191,169
0,224,176,203,191,181
0,224,192,187,192,200
0,224,208,187,195,213
0,224,224,187,195,227
0,224,240,165,197,242
0,240,0,255,194,114
0,240,16,255,194,100
0,240,32,255,194,89
0,240,48,255,195,119
0,240,64,255,195,117
0,240,80,255,196,107
0,240,96,255,196,128
0,240,112,255,197,139
0,240,128,255,199,142
0,240,144,255,199,155
0,240,160,255,202,173
0,240,176,255,202,184
0,240,192,251,205,201
0,240,208,251,209,215
0,240,224,251,209,227
0,240,240,230,208,241
16,0,0,11,0,0
16,0,16,6,0,15
16,0,32,11,33,33
16,0,48,11,33,50
16,0,64,0,33,66
16,0,80,6,65,80
16,0,96,6,65,97
16,0,112,0,65,113
16,0,128,0,94,127
16,0,144,0,94,143
16,0,160,0,94,156
16,0,176,0,94,169
16,0,192,0,118,181
16,0,208,0,118,193
16,0,224,0,118,203
16,0,240,0,139,214
16,16,0,19,15,0
16,16,16,17,15,16
16,16,32,19,37,37
16,16,48,19,37,50
16,16,64,0,41,65
16,16,80,17,60,81
16,16,96,17,60,98
16,16,112,0,74,114
16,16,128,0,83,126
16,16,144,0,83,142
16,16,160,0,102,157
16,16,176,0,102,170
16,16,192,0,110,181
16,16,208,0,125,193
16,16,224,0,125,204
16,16,240,0,133,214
16,32,0,48,36,12
16,32,16,43,38,23
16,32,32,43,38,33
16,32,48,43,38,49
16,32,64,32,52,65
16,32,80,6,50,80
16,32,96,6,50,97
16,32,112,0,74,113
16,32,128,0,82,129
16,32,144,0,82,145
16,32,160,0,102,159
16,32,176,0,103,171
16,32,192,0,110,184
16,32,208,0,128,196
16,32,224,0,127,205
16,32,240,0,132,216
16,48,0,48,41,12
16,48,16,43,41,23
16,48,32,43,44,33
16,48,48,43,44,49
16,48,64,32,46,65
16,48,80,6,61,80
16,48,96,6,60,97
16,48,112,0,64,113
16,48,128,0,92,129
16,48,144,0,92,145
16,48,160,0,96,159
16,48,176,0,96,171
16,48,192,0,118,184
16,48,208,0,122,196
16,48,224,0,121,205
16,48,240,0,138,216
16,64,0,71,53,12
16,64,16,71,53,25
16,64,32,67,55,41
16,64,48,67,55,50
16,64,64,63,57,65
16,64,80,34,68,83
16,64,96,34,69,98
16,64,112,21,72,114
16,64,128,30,93,129
16,64,144,30,93,145
16,64,160,0,101,160
16,64,176,0,101,175
16,64,192,21,115,185
16,64,208,0,126,197
16,64,224,0,126,210
16,64,240,0,135,219
16,80,0,93,68,24
16,80,16,92,69,32
16,80,32,92,69,39
16,80,48,92,69,52
16,80,64,73,74,67
16,80,80,82,72,82
16,80,96,82,73,99
16,80,112,65,91,114
16,80,128,42,80,128
16,80,144,42,82,145
16,80,160,42,108,159
16,80,176,42,107,172
16,80,192,0,109,190
16,80,208,0,128,203
16,80,224,0,129,211
16,80,240,0,134,224
16,96,0,93,80,24
16,96,16,92,80,32
16,96,32,92,81,40
16,96,48,92,81,53
16,96,64,73,82,67
16,96,80,82,85,82
16,96,96,82,85,99
16,96,112,65,90,114
16,96,128,42,94,128
16,96,144,42,93,145
16,96,160,42,101,159
16,96,176,42,100,172
16,96,192,0,117,190
16,96,208,0,122,203
16,96,224,0,122,211
16,96,240,0,141,224
16,112,0,125,94,24
16,112,16,126,93,35
16,112,32,125,95,36
16,112,48,125,95,54
16,112,64,122,94,68
16,112,80,116,97,86
16,112,96,116,97,100
16,112,112,109,99,115
16,112,128,91,103,131
16,112,144,91,104,146
16,112,160,79,108,161
16,112,176,79,108,177
16,112,192,45,123,191
16,112,208,18,128,205
16,112,224,18,126,222
16,112,240,37,144,227
16,128,0,146,106,37
16,128,16,146,107,43
16,128,32,146,106,45
16,128,48,146,106,60
16,128,64,142,109,73
16,128,80,141,108,85
16,128,96,141,108,103
16,128,112,127,114,118
16,128,128,127,113,131
16,128,144,127,113,148
16,128,160,97,127,163
16,128,176,97,127,177
16,128,192,45,127,191
16,128,208,78,143,209
16,128,224,78,143,218
16,128,240,35,138,239
16,144,0,149,119,37
16,144,16,146,119,43
16,144,32,146,119,47
16,144,48,146,119,60
16,144,64,142,120,72
16,144,80,141,122,84
16,144,96,141,122,102
16,144,112,127,124,117
16,144,128,127,124,130
16,144,144,127,126,148
16,144,160,97,131,163
16,144,176,97,132,177
16,144,192,99,134,195
16,144,208,78,142,209
16,144,224,78,142,218
16,144,240,35,146,239
16,160,0,179,132,37
16,160,16,180,132,46
16,160,32,180,132,57
16,160,48,180,132,60
16,160,64,178,132,75
16,160,80,175,134,90
16,160,96,175,134,102
16,160,112,170,135,119
16,160,128,164,139,134
16,160,144,164,139,150
16,160,160,156,140,164
16,160,176,156,142,180
16,160,192,142,146,196
16,160,208,131,148,211
16,160,224,131,149,226
16,160,240,94,157,241
16,176,0,182,145,37
16,176,16,180,145,46
16,176,32,180,145,57
16,176,48,180,145,61
16,176,64,178,146,74
16,176,80,175,147,91
16,176,96,175,147,102
16,176,112,170,149,118
16,176,128,164,151,134
